reino,filo,clase,orden,familia,genero,especie,latitud,longitud,fecha,mes,anio,total_individuos,cluster_dbscan,clusterkmean,clusterkmean_amb
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.553669,-79.36424,2000-09-08,9,2000,2,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.555833,-79.554722,1971-07-15,7,1971,30,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.566666,-79.34999,1998-12-20,12,1998,3,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,bocagei,-2.566667,-76.633333,1937-10-05,10,1937,1,1,4,7
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,bocagei,-2.56667,-76.6333,1937-10-05,10,1937,1,1,4,7
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.56789,-79.36657,1993-03-01,3,1993,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.570883,-78.81418,2005-10-23,10,2005,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,bocagei,-2.57213,-76.7449,1931-01-01,1,1931,9,1,4,7
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.5739,-79.35683,2013-06-14,6,2013,10,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,NA,vertebralis,-2.600980092,-78.95665304,1987-02-01,2,1987,4,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.60442,-78.18962,2003-04-06,4,2003,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.61195,-79.43374,2013-06-14,6,2013,14,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,pulchellus,-2.61195,-79.43374,2013-06-14,6,2013,5,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,trivittata,-2.615408,-69.844397,2019-11-13,11,2019,4,0,6,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,trivittata,-2.615408,-69.844397,2019-11-11,11,2019,1,0,6,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,trivittata,-2.615408,-69.844397,2019-11-12,11,2019,1,0,6,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.622882,-78.19657,2002-06-17,6,2002,3,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.62306,-77.7947,NA,2,1956,1,1,4,7
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,bocagei,-2.62306,-77.7947,NA,2,1956,3,1,4,7
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.63138,-78.6055,2013-06-14,6,2013,8,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.63144,-78.59954,2008-09-09,9,2008,2,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.63368,-79.46125,2010-10-15,10,2010,2,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,elachyhistus,-2.634237,-79.44738,2006-03-30,3,2006,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,elachyhistus,-2.634319,-79.44738,2006-03-30,3,2006,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.635666,-78.60024,2000-11-05,11,2000,3,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.635699,-78.60124,2004-04-16,4,2004,7,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.63605,-78.60097,2008-09-09,9,2008,24,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.63605,-78.60097,2008-09-10,9,2008,47,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.63605,-78.60009,2008-09-10,9,2008,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.63605,-78.60097,2008-09-09,9,2008,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.63605,-78.60097,2008-01-01,1,2008,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.636111,-79.355556,1990-04-09,4,1990,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.641599,-78.60041,2004-04-15,4,2004,5,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.65,-78.41,2000-04-19,4,2000,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.65,-78.916667,1970-07-26,7,1970,21,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.652334,-78.60365,2007-10-01,10,2007,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.6592,-78.914553,1962-08-03,8,1962,7,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.661696,-74.159002,2024-02-26,2,2024,1,0,6,8
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.66525,-78.3167,1962-08-11,8,1962,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.666667,-78.916667,1984-03-14,3,1984,7,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.672222,-79.615833,NA,6,1987,2,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.67694,-78.3103,1962-08-10,8,1962,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.683174,-79.43841,1990-04-08,4,1990,6,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.683333,-78.316667,1990-04-23,4,1990,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.685999,-79.435,1989-04-09,4,1989,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.686874,-79.44133,1990-04-08,4,1990,6,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,jacobuspetersi,-2.686874,-79.44133,1990-04-08,4,1990,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.688333,-79.41,1990-04-09,4,1990,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.688333,-79.41,1990-04-08,4,1990,4,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.688611,-79.478889,1990-04-08,4,1990,2,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.688889,-79.474167,1990-04-08,4,1990,7,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.691667,-79.414722,1990-04-08,4,1990,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.69259,-79.59799,2003-03-25,3,2003,7,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.699994,-79.50446,1991-01-01,1,1991,2,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.705249,-78.33772,2004-01-01,1,2004,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.705249,-78.33772,2006-12-11,12,2006,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.706716,-78.32784,2004-04-23,4,2004,2,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.706716,-78.32784,2004-04-25,4,2004,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.710557,-79.39221,1990-04-09,4,1990,6,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.710557,-79.39221,1990-04-09,4,1990,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.714638,-78.3325,2006-01-01,1,2006,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.716,-78.31999,1999-11-20,11,1999,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.716,-78.31999,1999-04-19,4,1999,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.716667,-78.916667,1971-05-12,5,1971,3,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,bocagei,-2.7167,-76.4333,NA,11,1957,10,1,4,7
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.7167,-76.4333,NA,11,1957,1,1,4,7
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.717814,-78.32,1990-04-23,4,1990,1,1,8,5
