grupo_geografico,latitud,longitud,total_individuos,fecha,anio,mes,especie,reino,filo,clase,orden,familia,genero
90,-3.381610285714286,-79.57637285714286,42,2012-04-16,2012,4,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
91,-3.38181,-79.373129,1,2018-03-18,2018,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
92,-3.388498,-79.648654,1,2023-10-29,2023,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
93,-3.38943,-79.58821,48,2012-03-21,2012,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
94,-3.403993,-79.953297,1,2022-08-12,2022,8,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
95,-3.4099,-79.82943,2,2019-06-06,2019,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
96,-3.407,-79.647,3,1996-09-14,1996,9,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
97,-3.41306,-79.8183,10,1954-08-07,1954,8,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
98,-3.417638,-79.734806,1,2024-05-07,2024,5,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
99,-3.420045,-79.804339,1,2017-03-08,2017,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
100,-3.425829,-79.658435,1,2024-08-28,2024,8,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
101,-3.426304,-79.819964,1,2018-11-12,2018,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
102,-3.445116,-79.69234,1,2021-11-26,2021,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
103,-3.450539,-79.736029,1,2023-07-02,2023,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
104,-3.453958,-79.836599,1,2018-11-25,2018,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
105,-3.454215,-79.95662,1,2007-10-18,2007,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
106,-3.454434,-79.914402,1,2018-11-15,2018,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
107,-3.454766,-79.58047,2,2008-11-27,2008,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
108,-3.458742,-79.56514,1,2023-06-29,2023,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
109,-3.4737995,-79.972048,2,2014-03-04,2014,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
110,-3.485263,-79.799975,1,2024-06-10,2024,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
111,-3.497714,-79.8105325,2,2019-10-18,2019,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
112,-3.497525,-79.758584,1,2024-06-13,2024,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
113,-3.4984295,-79.618755,2,2016-11-20,2016,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
114,-3.503222,-79.7253,8,2008-01-11,2008,1,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
115,-3.503313,-79.997854,1,2017-10-07,2017,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
116,-3.503541,-80.11382,2,2015-01-19,2015,1,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
117,-3.50368,-79.2664,1,2018-03-17,2018,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
118,-3.509087,-79.745921,1,2025-01-15,2025,1,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
119,-3.509771,-79.84057,4,2007-07-18,2007,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
120,-3.51166,-79.82026,1,2007-07-21,2007,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
